LocationID,taxiName,mapName,Borough,xID,longitude,latitude
242,Van Nest/Morris Park,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest,-73.87069,40.84158
243,Washington Heights North,Washington Heights,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Washington_Heights,-73.9343,40.85248
244,Washington Heights South,Washington Heights,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Washington_Heights,-73.93936,40.84171
245,West Brighton,Silver Lake,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,-74.10931,40.62703
246,West Chelsea/Hudson Yards,Chelsea,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea,-74.00169,40.75377
247,West Concourse,Concourse Village,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Concourse_Village,-81.47181,28.42368
248,West Farms/Bronx River,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest,-73.8816,40.84306
249,West Village,Greenwich Village,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Greenwich_Village,-74.00476,40.73468
250,Westchester Village/Unionport,Unionport,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Unionport,-73.86979,40.8309
251,Westerleigh,Castleton Corners,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Castleton_Corners,-74.13181,40.62121
252,Whitestone,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,-73.80956,40.79204
253,Willets Point,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park,-73.84044,40.76069
254,Williamsbridge/Olinville,Williamsbridge,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Williamsbridge,-73.85284,40.87876
255,Williamsburg (North Side),Williamsburg,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg,-73.95285,40.71492
256,Williamsburg (South Side),Williamsburg,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg,-73.96425,40.70914
257,Windsor Terrace,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights,-73.97566,40.65393
258,Woodhaven,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park,-83.2418,42.13898
259,Woodlawn/Wakefield,Woodlawn,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Woodlawn,-73.86304,40.90661
260,Woodside,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park,-122.25386,37.42994
261,World Trade Center,Tribeca,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Tribeca,-74.01338,40.71274
262,Yorkville East,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-73.95091,40.77025
263,Yorkville West,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-88.44729,41.64114
